R,setting,model,learner,tuner,pehe_mean,pehe_std,pehe_plug_mean,pehe_plug_std,n_reps
5,1d,x_cb,x_cb,bayes,0.16914334453400465,0.04676334100817481,0.4379795310294032,0.10573921570767078,5
5,1d,x_cb,x_cb,grid,0.13461743994717126,0.04918410938483405,0.3395581763737861,0.0848706711475274,5
5,1d,x_cb,x_cb,random,0.13612261790069272,0.0490465598621664,0.36113322901165523,0.08502268304157225,5
5,1d,x_rf,x_rf,bayes,0.14753435349738603,0.05735588124401106,0.3778454163328706,0.16185917635820454,5
5,1d,x_rf,x_rf,grid,0.14616375745565227,0.0561359074410459,0.3747070069663049,0.1593750802333112,5
5,1d,x_rf,x_rf,random,0.14415621636094783,0.06080190613302972,0.3663204466947581,0.1659525165988003,5
5,2d,x_cb,x_cb,bayes,0.1217702320179815,0.054478567499355535,0.33634402824665044,0.10018728279643402,5
5,2d,x_cb,x_cb,grid,0.1251056781339353,0.059489140356797476,0.3266175286274501,0.09964076559046507,5
5,2d,x_cb,x_cb,random,0.20185559061855723,0.06088650126644097,0.44694659512066065,0.08530606283490409,5
5,2d,x_rf,x_rf,bayes,0.14081698760109956,0.059424827397903314,0.3581581432658039,0.16277530088831701,5
5,2d,x_rf,x_rf,grid,0.1439322802631253,0.05952159963457337,0.35748412551264586,0.1664924008834514,5
5,2d,x_rf,x_rf,random,0.13951703972068044,0.0550926173455567,0.3613811204474244,0.16775914003786602,5
5,6d,x_cb,x_cb,bayes,0.12792672173049438,0.05056291170495222,0.25841947576102986,0.06301508777966372,5
5,6d,x_cb,x_cb,random,0.12041848270511073,0.05152090748605456,0.3565418295301105,0.08796174381570519,5
5,6d,x_rf,x_rf,bayes,0.1411958055812477,0.062369068749713326,0.23941794936786476,0.08387580611048596,5
5,6d,x_rf,x_rf,random,0.1470143280689832,0.057604880359413066,0.28007873485607926,0.12327859081326531,5
5,4d,x_cb,x_cb,bayes,0.13987513921762337,0.06266782235334484,0.3429793971524553,0.1279524696372517,5
5,4d,x_cb,x_cb,random,0.12740725816227907,0.05374482117640403,0.3250967729362072,0.09305199495700457,5
5,4d,x_rf,x_rf,bayes,0.13066799958828992,0.05652513539341328,0.30197097785147103,0.1401833985667329,5
5,4d,x_rf,x_rf,random,0.13067646359751145,0.055384141338935454,0.3271348925990184,0.17410981318308716,5
10,1d,x_cb,x_cb,bayes,0.17098548886107762,0.03273035882472009,0.4651548583860666,0.08573644639744382,10
10,1d,x_cb,x_cb,grid,0.12476850720816055,0.03717969921275003,0.34604119914546827,0.06497167122711656,10
10,1d,x_cb,x_cb,random,0.13000117664601207,0.035637853554681985,0.37001389654660466,0.06673915904080216,10
10,1d,x_rf,x_rf,bayes,0.14226982996890866,0.044927204194903356,0.38463846088739667,0.13847349409722767,10
10,1d,x_rf,x_rf,grid,0.1410184283450992,0.04372089969760785,0.38277417747119025,0.1354378905285232,10
10,1d,x_rf,x_rf,random,0.13995358260962767,0.04730707706676696,0.3774033931294139,0.14154545087295847,10
10,2d,x_cb,x_cb,bayes,0.11867688869404835,0.039719838622002006,0.3366882930720293,0.07222368795545397,10
10,2d,x_cb,x_cb,grid,0.11986470372194295,0.04335193593034296,0.3313161952996275,0.072471853978066,10
10,2d,x_cb,x_cb,random,0.18766266163104758,0.051871668305836234,0.43664929747757786,0.10500947082656653,10
10,2d,x_rf,x_rf,bayes,0.1321319048090504,0.04549157413479193,0.3545346843614473,0.13149082252211242,10
10,2d,x_rf,x_rf,grid,0.13680502774791256,0.04487015454466768,0.360268745145435,0.1316498073883058,10
10,2d,x_rf,x_rf,random,0.13336464263472092,0.04142961520948035,0.35617514020952,0.13584326192508814,10
10,6d,x_cb,x_cb,bayes,0.13058055434994703,0.04015277922350415,0.30823972381846004,0.07599898087148613,10
10,6d,x_cb,x_cb,random,0.13065606790840228,0.037644620372507764,0.37129851992040797,0.08290577914915097,10
10,6d,x_rf,x_rf,bayes,0.12432484645049784,0.04896903388386172,0.2522854900524901,0.07424285606426259,10
10,6d,x_rf,x_rf,random,0.12526091073694717,0.047086592524645886,0.2538934713486691,0.11049992712856464,10
10,4d,x_cb,x_cb,bayes,0.13099410033754652,0.050148747068355363,0.34706028210778916,0.09833996329633198,10
10,4d,x_cb,x_cb,random,0.12506257609030985,0.04144047439636552,0.3254554479263304,0.0689397721101781,10
10,4d,x_rf,x_rf,bayes,0.12244989496663225,0.04260832695556708,0.30521209183403747,0.11398654471811419,10
10,4d,x_rf,x_rf,random,0.1274346753969524,0.040826283932582634,0.3129138336931843,0.14049515347411412,10
