dimension,tuner,pehe_mean,pehe_std,pehe_plug_mean,pehe_plug_std
1d,bayes,0.1729430794557399,0.038113664483956,0.4472164106630765,0.0905287015017456
,grid,0.1299221582786484,0.0408996701353243,0.3392990428925254,0.0719702544207419
,random,0.1341458982634848,0.0402698452806385,0.3610179830073472,0.073360828480921
2d,bayes,0.1218992343101643,0.0416395014449685,0.3362171101493869,0.0859902519906264
,grid,0.123393490003945,0.0446147592034166,0.3305157657306996,0.0864020231311043
,random,0.1931927303947501,0.052532336041432,0.4366273787910512,0.0996657775064999
4d,bayes,0.1332781082611735,0.0499843809543672,0.3456497977841092,0.1004763769937555
,random,0.1278860690040043,0.0440315448646034,0.3251538017435009,0.0842312763207862
6d,bayes,0.1369116430795708,0.0482901354088373,0.3043359926428707,0.0828378146105675
,random,0.1346409799949956,0.0456376749459408,0.3662947748879647,0.0820844794061281
